nodeid,rdtimestamp,rssi,snr
tinovi-03,1742804100,-87.5,7.0
tinovi-04,1742804100,-72.0,9.0
tinovi-05,1742804100,-79.5,8.8
tinovi-06,1742804100,-78.0,8.3
milesight-01,1742805000,-77.0,9.5
milesight-02,1742805000,-80.0,10.0
tinovi-01,1742805000,-81.0,9.5
tinovi-02,1742805000,-71.5,9.4
tinovi-03,1742805000,-90.0,8.8
tinovi-04,1742805000,-72.5,8.4
tinovi-05,1742805000,-79.0,8.0
tinovi-06,1742805000,-78.0,9.5
milesight-01,1742805900,-78.5,9.9
milesight-02,1742805900,-77.0,8.5
tinovi-01,1742805900,-79.5,10.0
tinovi-02,1742805900,-72.0,10.3
tinovi-03,1742805900,-90.0,9.1
tinovi-04,1742805900,-73.0,9.0
tinovi-05,1742805900,-78.5,8.6
tinovi-06,1742805900,-80.0,9.0
milesight-01,1742806800,-76.0,9.5
milesight-02,1742806800,-81.0,9.8
tinovi-01,1742806800,-78.0,7.3
tinovi-02,1742806800,-71.0,9.3
tinovi-03,1742806800,-92.0,6.8
tinovi-04,1742806800,-71.0,7.6
tinovi-05,1742806800,-80.0,11.0
tinovi-06,1742806800,-80.0,8.5
milesight-01,1742807700,-77.0,8.3
milesight-02,1742807700,-83.0,9.9
tinovi-01,1742807700,-84.0,10.0
tinovi-02,1742807700,-69.0,9.5
tinovi-03,1742807700,-89.0,9.3
tinovi-04,1742807700,-73.0,9.3
tinovi-05,1742807700,-77.5,9.4
tinovi-06,1742807700,-79.5,8.3
milesight-01,1742808600,-74.0,9.3
milesight-02,1742808600,-77.0,11.0
tinovi-01,1742808600,-80.0,7.8
tinovi-02,1742808600,-72.0,8.9
tinovi-03,1742808600,-87.0,7.3
tinovi-04,1742808600,-72.0,8.9
tinovi-05,1742808600,-76.0,8.5
tinovi-06,1742808600,-77.0,9.8
milesight-01,1742809500,-78.5,8.6
milesight-02,1742809500,-77.0,9.1
tinovi-01,1742809500,-82.0,8.8
tinovi-02,1742809500,-72.0,9.8
tinovi-03,1742809500,-90.5,9.1
tinovi-04,1742809500,-72.0,7.8
tinovi-05,1742809500,-79.5,10.3
tinovi-06,1742809500,-76.0,8.1
milesight-01,1742810400,-76.0,9.5
milesight-02,1742810400,-85.0,7.0
tinovi-01,1742810400,-80.0,9.1
tinovi-02,1742810400,-73.5,9.6
tinovi-03,1742810400,-91.0,8.8
tinovi-04,1742810400,-72.5,9.1
tinovi-05,1742810400,-79.0,7.3
tinovi-06,1742810400,-78.0,9.0
milesight-01,1742811300,-76.0,9.9
milesight-02,1742811300,-86.0,8.8
tinovi-01,1742811300,-80.0,10.3
tinovi-02,1742811300,-74.0,8.0
tinovi-03,1742811300,-91.5,8.1
