nodeid,rdtimestamp,rssi,snr
milesight-02,1711263600,-80.5,8.5
tinovi-01,1711263600,-77.5,10.3
tinovi-02,1711263600,-76.0,8.4
tinovi-03,1711263600,-79.0,7.8
tinovi-04,1711263600,-95.0,8.8
tinovi-05,1711263600,-77.0,10.0
tinovi-06,1711263600,-83.0,9.8
milesight-01,1711264500,-72.0,9.5
milesight-02,1711264500,-78.0,9.8
tinovi-01,1711264500,-79.0,7.8
tinovi-02,1711264500,-76.0,9.0
tinovi-03,1711264500,-81.5,9.6
tinovi-04,1711264500,-93.0,8.5
tinovi-05,1711264500,-73.0,8.1
tinovi-06,1711264500,-84.0,9.3
milesight-01,1711265400,-72.5,9.0
milesight-02,1711265400,-79.5,8.3
tinovi-01,1711265400,-74.5,9.8
tinovi-02,1711265400,-79.5,9.8
tinovi-03,1711265400,-81.0,9.8
tinovi-04,1711265400,-90.5,8.1
tinovi-05,1711265400,-72.0,9.5
tinovi-06,1711265400,-83.0,9.8
milesight-01,1711266300,-71.0,9.0
milesight-02,1711266300,-79.0,9.5
tinovi-01,1711266300,-77.0,7.5
tinovi-02,1711266300,-78.0,8.0
tinovi-03,1711266300,-82.0,8.5
tinovi-04,1711266300,-95.0,9.5
tinovi-05,1711266300,-74.0,9.5
tinovi-06,1711266300,-82.0,8.8
milesight-01,1711267200,-73.0,9.1
milesight-02,1711267200,-81.0,8.4
tinovi-01,1711267200,-78.5,10.1
tinovi-02,1711267200,-78.0,9.6
tinovi-03,1711267200,-80.0,8.8
tinovi-04,1711267200,-95.0,7.9
tinovi-05,1711267200,-74.0,8.8
tinovi-06,1711267200,-81.0,8.3
milesight-01,1711268100,-73.0,9.5
milesight-02,1711268100,-77.0,7.0
tinovi-01,1711268100,-78.0,9.3
tinovi-02,1711268100,-80.0,6.8
tinovi-03,1711268100,-79.5,8.4
tinovi-04,1711268100,-92.0,8.3
tinovi-05,1711268100,-76.0,8.8
tinovi-06,1711268100,-81.0,8.4
milesight-01,1711269000,-71.5,8.6
milesight-02,1711269000,-79.0,9.5
tinovi-01,1711269000,-79.0,9.0
tinovi-02,1711269000,-80.5,9.5
tinovi-03,1711269000,-85.0,9.8
tinovi-04,1711269000,-92.5,9.5
tinovi-05,1711269000,-77.0,10.3
tinovi-06,1711269000,-85.0,9.5
milesight-01,1711269900,-69.0,9.0
milesight-02,1711269900,-77.0,9.3
tinovi-01,1711269900,-81.0,9.5
tinovi-02,1711269900,-81.0,9.5
tinovi-03,1711269900,-84.0,8.9
tinovi-04,1711269900,-92.0,6.5
tinovi-05,1711269900,-75.5,9.3
tinovi-06,1711269900,-80.0,8.3
milesight-01,1711270800,-72.0,8.4
milesight-02,1711270800,-80.0,8.5
tinovi-01,1711270800,-77.0,8.8
tinovi-02,1711270800,-80.5,8.3
tinovi-03,1711270800,-83.0,9.8
tinovi-04,1711270800,-94.5,5.3
tinovi-05,1711270800,-75.0,9.3
tinovi-06,1711270800,-81.0,6.8
milesight-01,1711271700,-74.0,9.0
milesight-02,1711271700,-83.0,9.8
tinovi-01,1711271700,-79.0,9.8
tinovi-02,1711271700,-81.0,9.3
tinovi-03,1711271700,-82.0,8.4
tinovi-04,1711271700,-99.0,8.8
tinovi-05,1711271700,-77.0,10.1
tinovi-06,1711271700,-85.0,10.0
milesight-01,1711272600,-70.0,8.9
milesight-02,1711272600,-80.0,9.3
tinovi-01,1711272600,-78.5,9.0
tinovi-02,1711272600,-78.5,8.9
tinovi-03,1711272600,-80.0,8.8
tinovi-04,1711272600,-95.0,8.1
tinovi-05,1711272600,-74.0,8.0
tinovi-06,1711272600,-82.0,7.8
milesight-01,1711273500,-71.0,9.0
milesight-02,1711273500,-79.0,10.3
tinovi-01,1711273500,-78.0,9.3
tinovi-02,1711273500,-80.0,10.0
tinovi-03,1711273500,-81.5,8.5
tinovi-04,1711273500,-91.0,8.3
tinovi-05,1711273500,-76.5,9.9
tinovi-06,1711273500,-81.0,8.3
milesight-01,1711274400,-72.5,8.6
milesight-02,1711274400,-82.0,9.4
tinovi-01,1711274400,-82.0,9.1
tinovi-02,1711274400,-82.0,8.9
tinovi-03,1711274400,-83.0,9.5
tinovi-04,1711274400,-93.0,9.0
tinovi-05,1711274400,-75.0,7.8
tinovi-06,1711274400,-83.0,9.5
milesight-01,1711275300,-72.0,9.3
milesight-02,1711275300,-83.0,9.5
tinovi-01,1711275300,-80.0,9.8
tinovi-02,1711275300,-80.0,9.3
tinovi-03,1711275300,-82.5,9.3
tinovi-04,1711275300,-90.0,7.8
tinovi-05,1711275300,-75.5,9.5
tinovi-06,1711275300,-81.0,9.3
milesight-01,1711276200,-71.5,8.0
milesight-02,1711276200,-80.5,7.8
tinovi-01,1711276200,-78.0,9.3
tinovi-02,1711276200,-80.5,8.1
tinovi-03,1711276200,-81.0,7.5
tinovi-04,1711276200,-101.0,7.8
tinovi-05,1711276200,-77.0,10.3
tinovi-06,1711276200,-83.0,8.5
milesight-01,1711277100,-71.0,8.5
milesight-02,1711277100,-78.0,9.8
tinovi-01,1711277100,-79.0,9.3
tinovi-02,1711277100,-80.0,9.5
tinovi-03,1711277100,-80.0,8.6
tinovi-04,1711277100,-95.5,7.3
tinovi-05,1711277100,-74.0,8.8
tinovi-06,1711277100,-83.0,10.0
milesight-01,1711278000,-72.5,9.5
milesight-02,1711278000,-84.5,8.6
tinovi-01,1711278000,-79.0,10.1
tinovi-02,1711278000,-82.0,9.0
tinovi-03,1711278000,-81.0,7.5
tinovi-04,1711278000,-93.0,7.3
tinovi-05,1711278000,-75.0,9.3
tinovi-06,1711278000,-83.0,8.4
milesight-01,1711278900,-70.0,9.5
milesight-02,1711278900,-85.0,10.3
tinovi-01,1711278900,-75.0,7.8
tinovi-02,1711278900,-85.0,10.0
tinovi-03,1711278900,-83.0,10.3
tinovi-04,1711278900,-91.5,9.4
tinovi-05,1711278900,-76.0,9.1
tinovi-06,1711278900,-83.0,9.5
milesight-01,1711279800,-71.5,8.1
milesight-02,1711279800,-77.0,9.0
tinovi-01,1711279800,-78.5,9.3
tinovi-02,1711279800,-83.5,9.6
tinovi-03,1711279800,-84.0,9.3
tinovi-04,1711279800,-89.0,9.0
